# observation_id: ca3ed6e2-7e49-11e9-9029-0a580a8003e9
# metadata: https://api.solarforecastarbiter.org/observations/ca3ed6e2-7e49-11e9-9029-0a580a8003e9/metadata
timestamp,value,quality_flag
20180101T13:35:00+0000,147.0,2
20180101T13:40:00+0000,158.0,2
20180101T13:45:00+0000,169.0,2
20180101T13:50:00+0000,180.0,2
20180101T13:55:00+0000,191.0,2
20180101T14:00:00+0000,202.0,2
20180101T14:05:00+0000,212.0,2
20180101T14:10:00+0000,223.0,2
20180101T14:15:00+0000,233.0,2
20180101T14:20:00+0000,243.0,2
20180101T14:25:00+0000,253.0,2
20180101T14:30:00+0000,263.0,2
20180101T14:35:00+0000,272.0,2
20180101T14:40:00+0000,282.0,2
20180101T14:45:00+0000,291.0,2
20180101T14:50:00+0000,299.0,2
20180101T14:55:00+0000,307.0,2
20180101T15:00:00+0000,316.0,2
20180101T15:05:00+0000,323.0,2
20180101T15:10:00+0000,331.0,2
20180101T15:15:00+0000,338.0,2
20180101T15:20:00+0000,345.0,2
20180101T15:25:00+0000,351.0,2
20180101T15:30:00+0000,357.0,2
20180101T15:35:00+0000,363.0,2
20180101T15:40:00+0000,368.0,2
20180101T15:45:00+0000,373.0,2
20180101T15:50:00+0000,378.0,2
20180101T15:55:00+0000,382.0,2
20180101T16:00:00+0000,386.0,2
20180101T16:05:00+0000,390.0,2
20180101T16:10:00+0000,393.0,2
20180101T16:15:00+0000,396.0,2
20180101T16:20:00+0000,399.0,2
20180101T16:25:00+0000,401.0,2
20180101T16:30:00+0000,402.0,2
20180101T16:35:00+0000,403.0,2
20180101T16:40:00+0000,405.0,2
20180101T16:45:00+0000,405.0,2
20180101T16:50:00+0000,406.0,2
20180101T16:55:00+0000,405.0,2
20180101T17:00:00+0000,405.0,2
20180101T17:05:00+0000,404.0,2
20180101T17:10:00+0000,403.0,2
20180101T17:15:00+0000,401.0,2
20180101T17:20:00+0000,399.0,2
20180101T17:25:00+0000,397.0,2
20180101T17:30:00+0000,395.0,2
20180101T17:35:00+0000,391.0,2
20180101T17:40:00+0000,388.0,2
20180101T17:45:00+0000,383.0,2
20180101T17:50:00+0000,379.0,2
20180101T17:55:00+0000,375.0,2
20180101T18:00:00+0000,370.0,2
20180101T18:05:00+0000,365.0,2
20180101T18:10:00+0000,359.0,2
20180101T18:15:00+0000,353.0,2
20180101T18:20:00+0000,346.0,2
20180101T18:25:00+0000,340.0,2
20180101T18:30:00+0000,333.0,2
20180101T18:35:00+0000,325.0,2
20180101T18:40:00+0000,317.0,2
